Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Destination IP Address,Destination Port,Email,Product name,Product version,Domain,Scheme,Observations,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
fe1d69d8-4e0d-5ac1-b0ae-a09cc33cdcf0,2023-08-26T23:25:10,2026-03-30T11:48:37,,,,,,,,,,,,,db101.org,,2,2026-03-30T11:48:37,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-ca.db101.org/"",""lastSeenAt"":""2026-03-30T11:48:37""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-ca.db101.org:443/"",""lastSeenAt"":""2026-03-28T20:44:30""}]",2,,2
e6216b28-98f1-5ff9-b2a5-5165222bf240,2024-01-29T02:00:29,2026-03-30T08:21:28,,,,,,,,,,,,,db101.org,,2,2026-03-30T08:21:28,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-ca-es.db101.org:443/"",""lastSeenAt"":""2026-03-30T08:21:28""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-ca-es.db101.org/"",""lastSeenAt"":""2026-03-30T08:21:28""}]",2,,2
1b47c39f-7865-5bd0-a1f3-27f324fea670,2023-06-08T17:07:16,2026-03-30T06:58:53,,,,,,,,,,,,,db101.org,,1,2026-03-30T06:58:53,,,,,,,,,,"[{""evidence"":[""<link rel=\""stylesheet\"" href=\""https://code.jquery.com/ui/1.14.1/themes/base/jquery-ui.css\"">"",""<link rel=\""stylesheet\"" type=\""text/css\"" href=\""https://cdnjs.cloudflare.com/ajax/libs/dropzone/4.3.0/dropzone.css\"">"",""<script src=\""https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js\"">"",""<script type=\""text/javascript\"" src=\""https://ajax.googleapis.com/ajax/libs/webfont/1.6.16/webfont.js\"">""],""initialUrl"":"""",""finalUrl"":""https://vault.db101.org/"",""lastSeenAt"":""2026-03-30T06:58:53""}]",1,,1
c388ac0c-0ea6-53e1-b0ac-ba842cb22d31,2023-07-17T03:01:18,2026-03-30T06:49:44,,,,,,,,,,,,,db101.org,,2,2026-03-30T06:49:44,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-mn.db101.org:443/"",""lastSeenAt"":""2026-03-30T06:49:44""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-mn.db101.org/"",""lastSeenAt"":""2026-03-24T03:55:45""}]",2,,2
21b18a45-42c5-5e39-b4b0-3ec7db169d6f,2023-06-08T18:21:45,2026-03-30T04:26:48,,,,,,,,,,,,,db101.org,,2,2026-03-30T04:26:48,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://oh.db101.org:443/"",""lastSeenAt"":""2026-03-30T04:26:48""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://oh.db101.org/"",""lastSeenAt"":""2026-02-18T11:11:06""}]",2,,2
2f476597-70b9-56f1-8fdc-65b07edab8be,2023-06-06T09:47:49,2026-03-30T04:19:32,,,,,,,,,,,,,db101.org,,2,2026-03-30T04:19:32,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nj-es.db101.org:443/"",""lastSeenAt"":""2026-03-30T04:19:32""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nj-es.db101.org/"",""lastSeenAt"":""2026-03-23T23:34:16""}]",2,,2
b43ac8a9-6c6e-5614-b53c-377b854bddc7,2023-07-16T20:09:44,2026-03-29T23:17:48,,,,,,,,,,,,,db101.org,,1,2026-03-29T23:17:48,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-ak.db101.org:443/"",""lastSeenAt"":""2026-03-29T23:17:48""}]",1,,1
bca65c55-1197-5a15-92d7-4e51b4a5f6a8,2025-05-01T21:58:13,2026-03-29T22:35:17.895,,,,,,,,,,,,,db101.org,,1,2026-03-29T22:35:17.895,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://db101.org/"",""lastSeenAt"":""2026-03-29T22:35:17.895""}]",1,,1
c225a470-f097-51e9-bb84-50c54596842b,2025-05-03T17:46:19,2026-03-29T21:42:50,,,,,,,,,,,,,db101.org,,2,2026-03-29T21:42:50,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nc.db101.org:443/"",""lastSeenAt"":""2026-03-29T21:42:50""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nc.db101.org/"",""lastSeenAt"":""2026-03-29T21:42:50""}]",2,,2
18bde274-6af1-5c04-9b89-5b4ab6a9828f,2023-09-21T01:02:02,2026-03-29T20:41:14,,,,,,,,,,,,,db101.org,,2,2026-03-29T20:41:14,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mo.db101.org:443/"",""lastSeenAt"":""2026-03-29T20:41:14""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mo.db101.org/"",""lastSeenAt"":""2026-03-27T05:38:51""}]",2,,2
b366f54d-d2c2-5304-b8a5-2da18f9c6e29,2023-06-15T15:10:03,2026-03-29T20:19:35,,,,,,,,,,,,,db101.org,,2,2026-03-29T20:19:35,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nj.db101.org:443/"",""lastSeenAt"":""2026-03-29T20:19:35""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nj.db101.org/"",""lastSeenAt"":""2026-03-29T20:19:35""}]",2,,2
5d89d779-431d-599e-8498-9defc90cd68f,2023-08-23T20:23:55,2026-03-29T19:12:42,,,,,,,,,,,,,db101.org,,2,2026-03-29T19:12:42,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mi.db101.org:443/"",""lastSeenAt"":""2026-03-29T19:12:42""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mi.db101.org/"",""lastSeenAt"":""2026-03-23T22:27:58""}]",2,,2
12cd4b59-ea5d-5b85-9c82-0c074a20b15d,2023-06-07T04:56:05,2026-03-29T15:20:06,,,,,,,,,,,,,db101.org,,2,2026-03-29T15:20:06,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://il.db101.org/"",""lastSeenAt"":""2026-03-29T15:20:06""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://il.db101.org:443/"",""lastSeenAt"":""2026-03-20T15:25:24""}]",2,,2
